[10/08/24, 7:49:50 PM] Nidhi: You suck
[26/10/24, 11:17:14 PM] Vihaan: Ayatis coming
[26/10/24, 11:17:14 PM] Vihaan: For
[26/10/24, 11:17:17 PM] Vihaan: Diwali innit
[26/10/24, 11:17:17 PM] Nidhi: Her mom took her away
[26/10/24, 11:17:20 PM] Nidhi: YAH
[26/10/24, 11:17:26 PM] Vihaan: Full reunion
[26/10/24, 11:17:29 PM] Vihaan: Did avishi dup
[26/10/24, 11:17:30 PM] Vihaan: Dip
[26/10/24, 11:17:36 PM] Nidhi: Yeah yeah
[26/10/24, 11:17:38 PM] Nidhi: Bro you call
[26/10/24, 11:17:40 PM] Nidhi: Arnav
[26/10/24, 11:17:42 PM] Nidhi: I can't believe
[26/10/24, 11:17:46 PM] Nidhi: He didn't tell you yet
[26/10/24, 11:18:10 PM] Vihaan: Oh
[26/10/24, 11:18:11 PM] Vihaan: Shall i
[26/10/24, 11:18:13 PM] Vihaan: Call him
[26/10/24, 11:18:14 PM] Vihaan: Rn
[26/10/24, 11:18:22 PM] Nidhi: Idk
[26/10/24, 11:18:24 PM] Nidhi: Try off
‎[26/10/24, 11:18:27 PM] Vihaan: ‎sticker omitted
[26/10/24, 11:18:32 PM] Vihaan: I'm calling
[26/10/24, 11:18:37 PM] Nidhi: Oh it's sat yah call off
[26/10/24, 11:42:04 PM] Nidhi: Did he pick up
[27/10/24, 12:11:29 AM] Vihaan: Yes I'm taking
[27/10/24, 12:23:09 AM] Vihaan: Talking
[27/10/24, 12:23:16 AM] Vihaan: He still sleeps early tho
[27/10/24, 12:23:18 AM] Vihaan: 1 ish
[27/10/24, 10:53:19 AM] Nidhi: You think you're too cool uh
[27/10/24, 10:53:22 AM] Nidhi: That's late da
[27/10/24, 10:53:30 AM] Nidhi: I sleep at 10:30 ong
[27/10/24, 10:53:32 AM] Vihaan: No da
[27/10/24, 10:53:33 AM] Vihaan: Like
[27/10/24, 10:53:35 AM] Vihaan: Arnav
[27/10/24, 10:53:38 AM] Vihaan: Used to sleep mad late
[27/10/24, 10:53:40 AM] Nidhi: Were you shocked
[27/10/24, 10:53:46 AM] Vihaan: Lil bit
[27/10/24, 10:53:51 AM] Vihaan: Thoda thoda
[27/10/24, 10:53:53 AM] Vihaan: He's not
[27/10/24, 10:53:56 AM] Vihaan: Coming for
[27/10/24, 10:53:57 AM] Nidhi: He told you so late da
[27/10/24, 10:53:58 AM] Vihaan: Diwali
[27/10/24, 10:54:01 AM] Nidhi: YAH IK
[27/10/24, 10:54:09 AM] Nidhi: I'll give you
[27/10/24, 10:54:11 AM] Nidhi: Company
[27/10/24, 10:54:12 AM] Vihaan: Head
[27/10/24, 10:54:14 AM] Vihaan: Oh
[27/10/24, 10:54:16 AM] Vihaan: That works too
[27/10/24, 10:54:19 AM] Nidhi: For
[27/10/24, 10:54:22 AM] Nidhi: Lil time
[27/10/24, 10:54:25 AM] Nidhi: On Thursday
[27/10/24, 10:54:30 AM] Nidhi: Then you're on your own
[27/10/24, 10:54:42 AM] Nidhi: 🤢🤢🤮
‎[27/10/24, 10:55:31 AM] Vihaan: ‎sticker omitted
[27/10/24, 10:55:38 AM] Vihaan: This is our prof
[27/10/24, 10:55:41 AM] Vihaan: OKAY
[27/10/24, 10:55:48 AM] Vihaan: No da aasthas there
[27/10/24, 10:58:26 AM] Nidhi: Really uh
[27/10/24, 10:58:36 AM] Nidhi: Gives the vibe
[27/10/24, 10:58:41 AM] Nidhi: And ayati
[27/10/24, 10:58:43 AM] Nidhi: But like
[27/10/24, 10:58:48 AM] Nidhi: Will it be the same
[27/10/24, 10:58:55 AM] Nidhi: Wo me
[27/10/24, 11:00:17 AM] Vihaan: No da
[27/10/24, 11:00:19 AM] Vihaan: Ur IT
[27/10/24, 11:00:59 AM] Vihaan: F da why am I so despo for female contact
[27/10/24, 11:26:35 AM] Nidhi: Agreed
[27/10/24, 11:27:00 AM] Nidhi: Happens
[27/10/24, 11:27:13 AM] Nidhi: But don't be creepy
[27/10/24, 11:27:15 AM] Nidhi: Bro lowkey
[27/10/24, 11:27:24 AM] Vihaan: I'm not I'm not
[27/10/24, 11:27:25 AM] Nidhi: I don't see myself dating in college also
[27/10/24, 11:27:27 AM] Vihaan: Pretty chill
[27/10/24, 11:27:29 AM] Nidhi: The men
[27/10/24, 11:27:30 AM] Nidhi: Are
[27/10/24, 11:27:30 AM] Vihaan: Bro like
[27/10/24, 11:27:31 AM] Nidhi: Mid
[27/10/24, 11:27:34 AM] Nidhi: Like it's so
[27/10/24, 11:27:35 AM] Nidhi: Sad
[27/10/24, 11:27:35 AM] Vihaan: I can see myself
[27/10/24, 11:27:40 AM] Nidhi: Cuz the women
[27/10/24, 11:27:41 AM] Nidhi: Are
[27/10/24, 11:27:41 AM] Vihaan: But i can't find the chick
[27/10/24, 11:27:42 AM] Nidhi: So
[27/10/24, 11:27:43 AM] Nidhi: So
[27/10/24, 11:27:46 AM] Nidhi: So
[27/10/24, 11:27:48 AM] Vihaan: ..
[27/10/24, 11:27:51 AM] Nidhi: Gorgeous
[27/10/24, 11:27:56 AM] Vihaan: Yaaa vuh
[27/10/24, 11:28:01 AM] Vihaan: More than u uh
[27/10/24, 11:44:36 AM] Nidhi: I mean
[27/10/24, 11:44:38 AM] Nidhi: Yah bro
[27/10/24, 11:44:41 AM] Nidhi: Everyone's mad pretty
[30/10/24, 12:23:47 PM] Nidhi: Bhai
[30/10/24, 12:23:49 PM] Nidhi: Tmr
[30/10/24, 12:23:55 PM] Nidhi: How early can you come
[30/10/24, 12:23:56 PM] Nidhi: T
[30/10/24, 12:23:59 PM] Nidhi: To meet me
[30/10/24, 2:00:19 PM] Vihaan: Uh
[30/10/24, 2:00:22 PM] Vihaan: When r u leaving
[30/10/24, 2:37:42 PM] Nidhi: Fri
[30/10/24, 2:37:46 PM] Nidhi: But I wanna meet
[30/10/24, 2:37:49 PM] Nidhi: Many people tmr
[30/10/24, 2:37:55 PM] Vihaan: Oh
[30/10/24, 2:37:59 PM] Vihaan: So come evening only no
[30/10/24, 2:38:06 PM] Nidhi: I can't da
[30/10/24, 2:38:07 PM] Vihaan: Meet others in morning
[30/10/24, 2:38:11 PM] Nidhi: Come morn no
[30/10/24, 2:38:18 PM] Nidhi: Nah they aren't free
[30/10/24, 2:38:23 PM] Vihaan: Then like 11 30
[30/10/24, 2:38:23 PM] Nidhi: Come down morn please
[30/10/24, 2:38:39 PM] Nidhi: Can you do 11
[30/10/24, 4:09:30 PM] Vihaan: I could try
[30/10/24, 4:09:34 PM] Vihaan: When do u have to leave
[30/10/24, 4:58:36 PM] Nidhi: Bro like 1 max
[30/10/24, 4:59:45 PM] Nidhi: Wait Sunday when are you dipping
[30/10/24, 4:59:53 PM] Vihaan: Monday morning
[30/10/24, 4:59:59 PM] Vihaan: 11 to 1 is good
[30/10/24, 5:00:14 PM] Nidhi: I might dip 12:30
[30/10/24, 5:00:18 PM] Nidhi: CAN YOU DO
[30/10/24, 5:00:20 PM] Vihaan: Who ur neeting
[30/10/24, 5:00:24 PM] Nidhi: 10:30
[30/10/24, 5:00:28 PM] Vihaan: If I wake up
[30/10/24, 5:00:29 PM] Vihaan: Sure
[30/10/24, 5:00:31 PM] Nidhi: PLEASE PLEASE
[30/10/24, 5:00:36 PM] Nidhi: Yes ty
[30/10/24, 5:00:41 PM] Nidhi: Oh omg
[30/10/24, 5:00:50 PM] Nidhi: Then I can meet Sunday evening for a bit too
[30/10/24, 5:00:56 PM] Vihaan: Yeet
[30/10/24, 5:00:59 PM] Nidhi: If you can
[30/10/24, 5:01:07 PM] Nidhi: But come tmr thanks
[30/10/24, 5:01:29 PM] Vihaan: Ooook
[31/10/24, 10:40:31 AM] Nidhi: Hi what time
[31/10/24, 10:45:20 AM] Vihaan: Like
[31/10/24, 10:45:22 AM] Vihaan: 11 30
[31/10/24, 10:45:24 AM] Vihaan: 💀
[31/10/24, 10:45:26 AM] Vihaan: I woke late
[31/10/24, 10:45:48 AM] Nidhi: Bhai
[31/10/24, 10:45:54 AM] Nidhi: I'll get like no time w you
[31/10/24, 10:45:55 AM] Nidhi: But ok
[31/10/24, 10:45:57 AM] Vihaan: Trust
[31/10/24, 10:45:58 AM] Vihaan: Speed
[31/10/24, 10:46:00 AM] Nidhi: Come as far as you
[31/10/24, 10:46:01 AM] Nidhi: Can
[31/10/24, 10:46:01 AM] Vihaan: Sunday night
[31/10/24, 8:04:44 PM] Nidhi: When you going down
[31/10/24, 8:05:55 PM] Vihaan: 8 45
[31/10/24, 8:06:07 PM] Nidhi: Heh
[31/10/24, 8:06:09 PM] Nidhi: Wtf
[31/10/24, 8:06:14 PM] Nidhi: I'll dip by then
[31/10/24, 8:06:16 PM] Vihaan: Ay
[31/10/24, 8:06:17 PM] Vihaan: Why
[31/10/24, 8:06:21 PM] Vihaan: Stay no
[31/10/24, 8:06:27 PM] Nidhi: Nah
[31/10/24, 8:06:33 PM] Nidhi: I have to pack
[31/10/24, 8:06:34 PM] Nidhi: And all
[31/10/24, 8:06:39 PM] Vihaan: When u staying till
[31/10/24, 8:06:41 PM] Nidhi: Try to come lil earlier na please
[31/10/24, 8:06:45 PM] Vihaan: Bro I'll come
[31/10/24, 8:06:49 PM] Vihaan: When Puja gets over
[31/10/24, 8:06:50 PM] Nidhi: Bro I was gonna dip in like 20 mins
[31/10/24, 8:06:51 PM] Vihaan: I cant
[31/10/24, 8:06:55 PM] Vihaan: Come b4
[31/10/24, 8:06:57 PM] Vihaan: 😭
[03/11/24, 2:21:11 PM] Nidhi: Buai
[03/11/24, 2:21:17 PM] Nidhi: Samaira coming uh
[03/11/24, 2:21:27 PM] Nidhi: Samairas
[03/11/24, 2:30:11 PM] Vihaan: Yuh
[03/11/24, 2:30:13 PM] Vihaan: When u
[03/11/24, 2:30:14 PM] Vihaan: Coming
[03/11/24, 3:07:11 PM] Nidhi: Bro mabye 5
[03/11/24, 3:07:15 PM] Nidhi: Whens she coming
[03/11/24, 3:09:13 PM] Vihaan: 5 ish
[03/11/24, 3:09:15 PM] Vihaan: cool
[03/11/24, 7:42:31 PM] Nidhi: WAIT
[03/11/24, 7:42:31 PM] Nidhi: Bro
[03/11/24, 7:42:35 PM] Nidhi: What did shrish say tho
[04/11/24, 9:06:54 AM] Vihaan: Ahaha
[04/11/24, 9:07:04 AM] Vihaan: Bro I'm like do u still talk to nidhi
[04/11/24, 9:07:18 AM] Vihaan: Cos he told u were going out to chickmangluru
[04/11/24, 9:07:31 AM] Vihaan: He's like yea indo but why do u ask
[04/11/24, 9:07:43 AM] Vihaan: I'm like nothing she j mentioned that y'all spoke cos bb
[04/11/24, 9:07:49 AM] Vihaan: And he was like that's it uh
[04/11/24, 9:07:51 AM] Vihaan: I'm like yea
[04/11/24, 9:07:56 AM] Vihaan: Chumma normal only
[04/11/24, 7:16:50 PM] Nidhi: Oh good
[04/11/24, 7:16:53 PM] Nidhi: Good job
[04/11/24, 7:17:03 PM] Nidhi: Whyd he say that that tho wtf
[04/11/24, 7:17:26 PM] Nidhi: Peace peace
[04/11/24, 7:17:35 PM] Nidhi: Bro today was first day of normal classes
[04/11/24, 7:17:37 PM] Nidhi: It's horrible
[04/11/24, 7:17:38 PM] Nidhi: Yuck
[04/11/24, 7:17:40 PM] Nidhi: I hated it
[04/11/24, 7:30:04 PM] Vihaan: IDK
[04/11/24, 7:30:06 PM] Vihaan: cos
[04/11/24, 7:30:07 PM] Vihaan: i mean
[04/11/24, 7:30:08 PM] Vihaan: obv
[04/11/24, 7:30:12 PM] Vihaan: AYYY
[04/11/24, 7:30:15 PM] Vihaan: ull get used to it da
[04/11/24, 7:30:19 PM] Vihaan: 10 more yrs just
[04/11/24, 7:41:24 PM] Nidhi: That was so long ago
[04/11/24, 7:41:29 PM] Nidhi: He should get over it
[04/11/24, 7:41:43 PM] Nidhi: But we do talk quite a bit even now
[04/11/24, 7:41:51 PM] Nidhi: I HAVE RO BRO
[04/11/24, 7:41:57 PM] Nidhi: EVERYTHINGS SO FAST FAST
[04/11/24, 7:42:03 PM] Nidhi: Just read off of a fucking ppt bro yuck
[04/11/24, 7:42:07 PM] Nidhi: I'll kms
[05/11/24, 10:05:06 AM] Vihaan: Lesgooo
[05/11/24, 10:05:30 AM] Vihaan: Bro I feel u
[05/11/24, 10:05:37 AM] Vihaan: Same daa uss
[05/11/24, 10:05:41 AM] Vihaan: Take it
[05/11/24, 10:05:45 AM] Vihaan: One year at a time
[05/11/24, 10:05:47 AM] Vihaan: 🗿🗿
[07/11/24, 1:00:05 PM] Vihaan: Ayy sexy pfp
[07/11/24, 1:00:29 PM] Vihaan: Why sari tho
[07/11/24, 5:11:28 PM] Nidhi: Aye
[07/11/24, 5:11:34 PM] Nidhi: It's an old pic da
[07/11/24, 5:11:40 PM] Nidhi: Onam ka
[07/11/24, 5:11:58 PM] Nidhi: Let's see if I last a yr
[07/11/24, 5:12:06 PM] Nidhi: Bro I danced aaj
[07/11/24, 6:53:07 PM] Vihaan: oh
[07/11/24, 6:53:07 PM] Vihaan: FOR WHATT
[08/11/24, 4:58:00 PM] Nidhi: Kannada rajyothsava
[08/11/24, 4:58:04 PM] Nidhi: One massive dance
[08/11/24, 4:58:08 PM] Nidhi: One big flashmob
[08/11/24, 4:58:13 PM] Nidhi: And then one small grp dance
[08/11/24, 4:58:15 PM] Nidhi: Was fun
[18/11/24, 8:30:50 AM] Vihaan: WeRE u in flash mob???
[18/11/24, 8:31:01 AM] Vihaan: Damn look at u being all kannada
[18/11/24, 8:31:08 AM] Vihaan: Culturally connected
[18/11/24, 8:31:10 AM] Vihaan: Letsgo
[24/11/24, 1:27:01 PM] Nidhi: Hello boss
[24/11/24, 1:27:07 PM] Nidhi: Kese ho
‎[24/11/24, 11:32:54 PM] Nidhi: ‎image omitted
[26/11/24, 4:38:11 PM] Vihaan: AYYYOOo
[26/11/24, 4:38:16 PM] Vihaan: HAPPY BIRThDAYYYY
[26/11/24, 4:38:19 PM] Vihaan: NIDHII
[26/11/24, 4:38:21 PM] Vihaan: LY
[26/11/24, 4:38:30 PM] Vihaan: Come home day after I'm coming
[26/11/24, 5:22:41 PM] Nidhi: TJANKS DA
[26/11/24, 5:22:45 PM] Nidhi: Omg you are uh
[26/11/24, 5:22:52 PM] Nidhi: Yah I'll be there on the weekend
[26/11/24, 5:22:57 PM] Vihaan: LATSGO
[26/11/24, 5:23:00 PM] Vihaan: DID U PAWRY
[27/11/24, 7:31:56 PM] Nidhi: I ate
[27/11/24, 7:32:02 PM] Nidhi: Corner house
[27/11/24, 7:32:04 PM] Nidhi: In a hot outfit
[27/11/24, 8:05:07 PM] Vihaan: Ay yo
[27/11/24, 8:05:14 PM] Vihaan: How bout
[27/11/24, 8:05:16 PM] Vihaan: U eat me
[27/11/24, 8:05:19 PM] Vihaan: In a hot outfit
[27/11/24, 8:05:23 PM] Vihaan: Much better inniy
[28/11/24, 6:07:52 PM] Vihaan: Nigga ur here uh
[28/11/24, 6:15:59 PM] Nidhi: No da
[28/11/24, 6:16:02 PM] Nidhi: I'm coming Saturday
[28/11/24, 6:16:04 PM] Nidhi: Evening
[28/11/24, 6:16:06 PM] Nidhi: When you dipping
[28/11/24, 6:16:10 PM] Nidhi: Yuck
[28/11/24, 6:25:59 PM] Vihaan: Uh 14th
[28/11/24, 6:26:17 PM] Vihaan: Bro ur so bad at this da go away
[28/11/24, 6:43:38 PM] Nidhi: WHAT
[28/11/24, 6:43:41 PM] Nidhi: YOURE HERE TILL
[28/11/24, 6:43:46 PM] Nidhi: 14th uh
[28/11/24, 6:43:51 PM] Nidhi: Fine da
[28/11/24, 6:43:54 PM] Nidhi: My bad
[28/11/24, 6:43:57 PM] Nidhi: Sex me up
[28/11/24, 7:37:52 PM] Vihaan: Yessif
[28/11/24, 7:37:56 PM] Vihaan: Yuh
[29/11/24, 5:46:00 PM] Vihaan: When down
[29/11/24, 7:12:23 PM] Nidhi: Bhai
[29/11/24, 7:12:26 PM] Nidhi: I'm in hostel
[29/11/24, 7:12:27 PM] Nidhi: Bro
[29/11/24, 7:12:30 PM] Nidhi: I just did smt
[29/11/24, 7:12:31 PM] Vihaan: oo
[29/11/24, 7:12:33 PM] Nidhi: So stupid
[29/11/24, 7:12:35 PM] Vihaan: uhh
[29/11/24, 7:12:40 PM] Vihaan: like?
[29/11/24, 7:15:52 PM] Nidhi: Bro
[29/11/24, 7:15:54 PM] Nidhi: I just
[29/11/24, 7:15:55 PM] Nidhi: Drank
[29/11/24, 7:15:57 PM] Nidhi: W
[29/11/24, 7:15:59 PM] Nidhi: Random people
[29/11/24, 7:16:01 PM] Nidhi: It was
[29/11/24, 7:16:03 PM] Nidhi: Horrible
[29/11/24, 7:16:07 PM] Nidhi: I'm back now
[29/11/24, 7:16:47 PM] Vihaan: wait what
[29/11/24, 7:16:50 PM] Vihaan: so confused
[29/11/24, 7:16:55 PM] Vihaan: ur back in spandhana vuh
[29/11/24, 7:17:10 PM] Nidhi: Nah
[29/11/24, 7:17:12 PM] Nidhi: Like back
[29/11/24, 7:17:14 PM] Nidhi: In hostel
[29/11/24, 7:18:32 PM] Vihaan: OH
[29/11/24, 7:18:38 PM] Vihaan: when u come spandhane
[29/11/24, 7:18:45 PM] Vihaan: why tho
[29/11/24, 7:19:07 PM] Vihaan: why horrible
[29/11/24, 7:19:45 PM] Nidhi: Bhai
[29/11/24, 7:19:47 PM] Nidhi: Tmr da
[29/11/24, 7:19:51 PM] Nidhi: I'll meet you Sunday ko
[29/11/24, 7:19:58 PM] Nidhi: Bro I didn't like it
[29/11/24, 7:20:03 PM] Nidhi: I didn't like the people I went with
[29/11/24, 7:20:43 PM] Vihaan: hmm not friends?
[29/11/24, 7:22:54 PM] Nidhi: Bro
[29/11/24, 7:22:59 PM] Nidhi: Some of them are
[29/11/24, 7:23:01 PM] Nidhi: But I'm just
[29/11/24, 7:23:07 PM] Nidhi: Trynna find my people
[29/11/24, 7:23:09 PM] Nidhi: That's why I went
[29/11/24, 7:23:17 PM] Nidhi: I still havent
[29/11/24, 7:23:24 PM] Nidhi: Found a grp da
[29/11/24, 7:23:37 PM] Nidhi: It's so frustrating
[29/11/24, 7:24:11 PM] Vihaan: bro no da dw
[29/11/24, 7:27:32 PM] Vihaan: see like same actually
[29/11/24, 7:27:35 PM] Vihaan: i have like 2 dudes
[29/11/24, 7:27:42 PM] Vihaan: but apart from that its pretty fluid
[29/11/24, 7:27:45 PM] Vihaan: ull find da
[29/11/24, 7:27:53 PM] Vihaan: but like dont go drinking w randos da
[29/11/24, 7:45:03 PM] Nidhi: That's good enough bro
[29/11/24, 7:45:08 PM] Nidhi: I need one person man
[29/11/24, 7:45:17 PM] Nidhi: Yes never again
[30/11/24, 11:13:00 PM] Nidhi: Bhai
[30/11/24, 11:13:03 PM] Nidhi: When we meeting
[30/11/24, 11:13:17 PM] Nidhi: When dy get up
[01/12/24, 12:01:28 AM] Vihaan: trw
[01/12/24, 12:01:31 AM] Vihaan: i get up at 8
[01/12/24, 10:40:21 AM] Vihaan: ok 9
[01/12/24, 6:10:17 PM] Nidhi: abro
[01/12/24, 6:10:18 PM] Nidhi: Bro
[01/12/24, 6:10:20 PM] Nidhi: Bro
[01/12/24, 6:10:21 PM] Nidhi: Come down na
[01/12/24, 6:10:28 PM] Nidhi: I'll come to your basement
[01/12/24, 6:10:31 PM] Nidhi: Come in like 15
[01/12/24, 6:10:40 PM] Nidhi: Cuz idt I'll see you b4 you dip
[01/12/24, 6:10:44 PM] Nidhi: I'm not coming back home
[01/12/24, 6:11:06 PM] Vihaan: bro
[01/12/24, 6:11:08 PM] Vihaan: i have guests da
[01/12/24, 6:11:10 PM] Vihaan: i need
[01/12/24, 6:11:16 PM] Vihaan: like 50 mins
[01/12/24, 6:11:18 PM] Vihaan: like 7
[01/12/24, 6:11:20 PM] Vihaan: i can come
[01/12/24, 6:21:58 PM] Nidhi: Bhai
[01/12/24, 6:23:39 PM] Nidhi: Ahh
[01/12/24, 6:23:39 PM] Nidhi: I have work 😭
[01/12/24, 6:23:39 PM] Nidhi: Ok fine come as early as possible
[01/12/24, 6:23:59 PM] Vihaan: okkkk
[01/12/24, 7:12:44 PM] Nidhi: Bhai
[01/12/24, 7:12:51 PM] Vihaan: They j cane
[01/12/24, 7:12:54 PM] Vihaan: 😭😭😭😭
[01/12/24, 7:13:02 PM] Nidhi: Mf
[01/12/24, 7:13:04 PM] Vihaan: Wait 15 mins
[01/12/24, 7:13:04 PM] Nidhi: Nahh
[01/12/24, 7:13:18 PM] Nidhi: You couldve met me
[01/12/24, 7:13:20 PM] Nidhi: Then dipped
[01/12/24, 7:31:04 PM] Vihaan: Bro
[01/12/24, 7:31:10 PM] Vihaan: Istg
[01/12/24, 7:31:15 PM] Vihaan: I'll try to dip
[01/12/24, 7:31:16 PM] Nidhi: You can't come
[01/12/24, 7:31:17 PM] Nidhi: Nice
[01/12/24, 7:31:18 PM] Vihaan: Speed
[01/12/24, 7:31:23 PM] Nidhi: Oh
[01/12/24, 7:31:25 PM] Nidhi: You can
[01/12/24, 7:31:29 PM] Vihaan: Wait
[01/12/24, 7:31:32 PM] Nidhi: When
[01/12/24, 7:31:32 PM] Vihaan: Ya
[01/12/24, 7:31:39 PM] Vihaan: 15 mims
[01/12/24, 7:31:53 PM] Vihaan: Can u comf
[01/12/24, 7:32:31 PM] Nidhi: Yah ok
‎[01/12/24, 9:29:24 PM] Vihaan: ‎image omitted
[03/12/24, 9:18:54 PM] Nidhi: Bro
[03/12/24, 9:18:54 PM] Nidhi: We has sports rep elections
[03/12/24, 9:18:55 PM] Nidhi: I lost
[03/12/24, 9:19:09 PM] Nidhi: Had*
[04/12/24, 10:02:37 PM] Nidhi: BYE
[04/12/24, 10:02:45 PM] Nidhi: YOURE THAT AWARA RN UH
[04/12/24, 10:02:50 PM] Nidhi: That's mad cute tho
[04/12/24, 10:03:03 PM] Nidhi: Also i didn't get time to look at the song timings yet
[04/12/24, 10:03:07 PM] Nidhi: I'll do it at night
[04/12/24, 10:03:10 PM] Nidhi: Or send it tmr
[05/12/24, 12:07:20 AM] Nidhi: OK HI
[05/12/24, 12:07:50 AM] Nidhi: https://youtu.be/xFISC-TJmIc?si=LDmcxN1Z5Bp25a0J
[05/12/24, 12:07:50 AM] Nidhi: 1:34
[05/12/24, 12:07:50 AM] Nidhi: 0.58
[05/12/24, 12:07:55 AM] Nidhi: This song first
[05/12/24, 12:07:58 AM] Nidhi: Start
[05/12/24, 12:08:01 AM] Nidhi: End
[05/12/24, 12:08:51 AM] Nidhi: Then
[05/12/24, 12:09:03 AM] Nidhi: https://youtu.be/GWNrPJyRTcA?si=yYwHUbcfheuBVBFB
[05/12/24, 12:09:03 AM] Nidhi: 0.40
[05/12/24, 12:09:04 AM] Nidhi: 1.17
[05/12/24, 12:09:08 AM] Nidhi: Then
‎[05/12/24, 12:09:19 AM] Nidhi: audio (1).mp3 ‎document omitted
[05/12/24, 12:09:23 AM] Nidhi: This audio
[05/12/24, 12:09:27 AM] Nidhi: Then
[05/12/24, 12:11:19 AM] Nidhi: https://youtu.be/ruEQPQX90fI?si=HLUiOgVEr269_n9h
[05/12/24, 12:11:32 AM] Nidhi: 0.27
[05/12/24, 12:11:32 AM] Nidhi: 1:18
[05/12/24, 12:12:59 AM] Nidhi: Also do it before 3 tmr if you can please🙏
[05/12/24, 12:23:11 AM] Nidhi: After this
[05/12/24, 12:23:19 AM] Nidhi: https://youtu.be/TLnwqAarPkM?si=QmDChHOAi8VU0g0F
[05/12/24, 12:23:20 AM] Nidhi: 0.22
[05/12/24, 12:23:20 AM] Nidhi: 1.22
‎[05/12/24, 9:13:51 AM] Nidhi: ‎audio omitted
[05/12/24, 9:19:26 AM] Nidhi: See first this
[05/12/24, 9:19:28 AM] Nidhi: Then add
[05/12/24, 9:20:02 AM] Nidhi: https://youtu.be/bUTdUaVmj8o?si=ltnFM3q86XPQ-6u9
[05/12/24, 9:26:50 AM] Nidhi: 0.04 to 0.10
[05/12/24, 9:27:25 AM] Nidhi: Then add this and the rest
[05/12/24, 1:32:29 PM] Nidhi: Bro are you doing it or not😭
[05/12/24, 1:32:48 PM] Vihaan: Shit
[05/12/24, 1:32:50 PM] Vihaan: By when
[05/12/24, 1:32:54 PM] Vihaan: U want
[05/12/24, 1:33:23 PM] Nidhi: Can you do it by 4 max
[05/12/24, 1:33:46 PM] Vihaan: hmmm
[05/12/24, 1:33:48 PM] Vihaan: ill try
[05/12/24, 1:34:05 PM] Nidhi: Did you not see my messages
[05/12/24, 1:34:22 PM] Vihaan: imm seeing
[05/12/24, 1:34:30 PM] Nidhi: Peace
[05/12/24, 1:34:34 PM] Nidhi: Ty
‎[05/12/24, 1:57:57 PM] Vihaan: ‎audio omitted
[05/12/24, 3:43:20 PM] Nidhi: AYW
[05/12/24, 3:43:22 PM] Nidhi: Macha
[05/12/24, 3:43:26 PM] Nidhi: Whey is there a gap
[05/12/24, 3:43:29 PM] Nidhi: Be each song da
[05/12/24, 3:43:35 PM] Nidhi: Please make it less abrupt😭😭😭
[05/12/24, 3:43:42 PM] Nidhi: PLEASE
[05/12/24, 3:43:44 PM] Nidhi: Bw
[05/12/24, 3:45:58 PM] Nidhi: Bro
[05/12/24, 3:46:06 PM] Nidhi: Why is chikni chameli so fast
[05/12/24, 3:46:24 PM] Nidhi: What did you do
‎[05/12/24, 4:30:46 PM] Vihaan: ‎audio omitted
[05/12/24, 4:38:13 PM] Nidhi: THANK YOY
[05/12/24, 4:38:19 PM] Nidhi: SO SO MUCH
[05/12/24, 7:07:24 PM] Nidhi: Ok so
[05/12/24, 7:07:26 PM] Nidhi: Small
[05/12/24, 7:07:28 PM] Nidhi: Small
[05/12/24, 7:07:32 PM] Nidhi: Kutti addition I need
[05/12/24, 7:07:41 PM] Nidhi: Are you fine adding one more song😭
[05/12/24, 7:10:04 PM] Vihaan: 🗿🗿🗿
[05/12/24, 7:10:21 PM] Nidhi: Last i promise
[05/12/24, 7:13:06 PM] Nidhi: Stop this at 7:32
[05/12/24, 7:13:10 PM] Nidhi: And add
[05/12/24, 7:14:25 PM] Nidhi: https://youtu.be/mcL6ZErM49Q?si=THrR18VViGyPUkzc
[05/12/24, 7:14:29 PM] Nidhi: From 4:10
[05/12/24, 7:14:30 PM] Nidhi: To
[05/12/24, 7:15:50 PM] Nidhi: 4:39
[05/12/24, 7:16:29 PM] Nidhi: OH BRO
[05/12/24, 7:16:30 PM] Nidhi: Wait
[05/12/24, 7:16:31 PM] Nidhi: Wait
[05/12/24, 7:16:39 PM] Nidhi: I think my friend managed to do it
[05/12/24, 7:16:43 PM] Nidhi: Don't do anything
[05/12/24, 7:29:02 PM] Vihaan: okk
[08/12/24, 8:51:37 AM] Nidhi: YOU WANNA SEE THE DANCE
‎[08/12/24, 8:51:46 AM] Nidhi: ‎video omitted
[08/12/24, 9:55:01 AM] Vihaan: AYY
[08/12/24, 11:52:47 AM] Vihaan: ILL SEEE
[08/12/24, 12:09:52 PM] Nidhi: Wait look at
[08/12/24, 12:09:53 PM] Nidhi: This
[08/12/24, 12:10:00 PM] Nidhi: https://youtu.be/ZL_Q6P14OSI
[14/12/24, 6:49:10 PM] Nidhi: CONE
[14/12/24, 6:49:12 PM] Nidhi: Down
[14/12/24, 6:49:14 PM] Nidhi: At 7
[14/12/24, 7:36:41 PM] Vihaan: I'm in clleg
‎[14/12/24, 7:36:49 PM] Vihaan: ‎image omitted
[14/12/24, 7:37:12 PM] Nidhi: You suck
[14/12/24, 9:16:47 PM] Vihaan: Only on u
[15/12/24, 10:19:51 AM] Nidhi: No I'm mad at you
[15/12/24, 10:20:16 AM] Nidhi: When I called you didn't even say hi
[15/12/24, 10:20:25 AM] Nidhi: And i thought it's chill
